Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 IX,RF,40,20,0,14,0.4907161803713528,80,-1,0,-1,0.65
 IX,SVM,0,0,linear,0,0.5153846153846153,80,5,0,-1,0.625
 IX,KNN,0,0,canberra,0,0.5047745358090185,80,-1,0,7,0.575
 IX,ZR,0,0,0,0,0,80,-1,0,-1,0.625
 IX,RF,10,50,0,14,0.48663101604278075,90,-1,0,-1,0.36666666666666664
 IX,SVM,0,0,linear,0,0.4903743315508021,90,10,0,-1,0.4666666666666667
 IX,KNN,0,0,chebyshev,0,0.5168449197860963,90,-1,0,3,0.3888888888888889
 IX,ZR,0,0,0,0,0,90,-1,0,-1,0.4666666666666667
 IX,RF,40,10,0,14,0.5198380566801619,100,-1,0,-1,0.52
 IX,SVM,0,0,linear,0,0.5001349527665317,100,0.5,0,-1,0.58
 IX,KNN,0,0,chebyshev,0,0.5101214574898786,100,-1,0,5,0.35
 IX,ZR,0,0,0,0,0,100,-1,0,-1,0.58
 HUN,RF,20,30,0,14,0.5285470085470085,10,-1,0,-1,0.3
 HUN,SVM,0,0,linear,0,0.5965811965811966,10,5,0,-1,0.1
 HUN,KNN,0,0,chebyshev,0,0.5531623931623931,10,-1,0,11,0.2
 HUN,ZR,0,0,0,0,0,10,-1,0,-1,0.1
 HUN,RF,40,10,0,14,0.6103806228373703,20,-1,0,-1,0.75
 HUN,SVM,0,0,poly,0,0.6695501730103807,20,100,3,-1,0.85
 HUN,KNN,0,0,canberra,0,0.6290657439446367,20,-1,0,9,0.8
 HUN,ZR,0,0,0,0,0,20,-1,0,-1,0.75
 HUN,RF,30,10,0,14,0.4979020979020979,30,-1,0,-1,0.5333333333333333
 HUN,SVM,0,0,linear,0,0.5325174825174825,30,0.5,0,-1,0.23333333333333334
 HUN,KNN,0,0,hamming,0,0.515034965034965,30,-1,0,11,0.6
 HUN,ZR,0,0,0,0,0,30,-1,0,-1,0.26666666666666666
 HUN,RF,30,10,0,14,0.5083185840707964,40,-1,0,-1,0.35
 HUN,SVM,0,0,linear,0,0.5472566371681415,40,0.5,0,-1,0.35
 HUN,KNN,0,0,canberra,0,0.5164601769911504,40,-1,0,11,0.4
 HUN,ZR,0,0,0,0,0,40,-1,0,-1,0.5
 HUN,RF,30,10,0,14,0.5297491039426523,50,-1,0,-1,0.52
 HUN,SVM,0,0,linear,0,0.5505376344086022,50,10,0,-1,0.5
 HUN,KNN,0,0,chebyshev,0,0.5304659498207885,50,-1,0,9,0.54
 HUN,ZR,0,0,0,0,0,50,-1,0,-1,0.82
 HUN,RF,10,10,0,14,0.5365942028985508,60,-1,0,-1,0.6
 HUN,SVM,0,0,linear,0,0.5297101449275362,60,0.5,0,-1,0.55
 HUN,KNN,0,0,canberra,0,0.5264492753623189,60,-1,0,3,0.5166666666666667
 HUN,ZR,0,0,0,0,0,60,-1,0,-1,0.3
 HUN,RF,20,10,0,14,0.4979816513761468,70,-1,0,-1,0.18571428571428572
 HUN,SVM,0,0,poly,0,0.5321100917431193,70,100,3,-1,0.1
 HUN,KNN,0,0,canberra,0,0.533211009174312,70,-1,0,11,0.35714285714285715
 HUN,ZR,0,0,0,0,0,70,-1,0,-1,0.1
 HUN,RF,20,40,0,14,0.5,80,-1,0,-1,0.5125
 HUN,SVM,0,0,poly,0,0.5401486988847584,80,0.5,3,-1,0.3375
 HUN,KNN,0,0,manhattan,0,0.5074349442379182,80,-1,0,9,0.525
 HUN,ZR,0,0,0,0,0,80,-1,0,-1,0.3375
 HUN,RF,40,20,0,14,0.5161654135338346,90,-1,0,-1,0.5333333333333333
 HUN,SVM,0,0,poly,0,0.5609022556390978,90,0.5,3,-1,0.4111111111111111
 HUN,KNN,0,0,canberra,0,0.51203007518797,90,-1,0,3,0.5666666666666667
 HUN,ZR,0,0,0,0,0,90,-1,0,-1,0.5
 HUN,RF,30,50,0,14,0.5565714285714286,100,-1,0,-1,0.48
 HUN,SVM,0,0,poly,0,0.5706666666666667,100,0.5,3,-1,0.5
 HUN,KNN,0,0,manhattan,0,0.5596190476190476,100,-1,0,11,0.5
 HUN,ZR,0,0,0,0,0,100,-1,0,-1,0.4
 KMT,RF,50,10,0,14,0.4870848708487085,10,-1,0,-1,0.7
 KMT,SVM,0,0,linear,0,0.6194341943419435,10,0.5,0,-1,0.7
 KMT,KNN,0,0,euclidean,0,0.5104551045510455,10,-1,0,3,0.8
 KMT,ZR,0,0,0,0,0,10,-1,0,-1,0.2
 KMT,RF,40,10,0,14,0.6146401985111662,20,-1,0,-1,0.9
 KMT,SVM,0,0,linear,0,0.6781637717121588,20,0.5,0,-1,1.0
 KMT,KNN,0,0,canberra,0,0.5992555831265509,20,-1,0,11,0.85
 KMT,ZR,0,0,0,0,0,20,-1,0,-1,0.9
 KMT,RF,50,10,0,14,0.498,30,-1,0,-1,0.6666666666666666
 KMT,SVM,0,0,linear,0,0.54475,30,0.5,0,-1,0.43333333333333335
 KMT,KNN,0,0,canberra,0,0.5045,30,-1,0,11,0.5
 KMT,ZR,0,0,0,0,0,30,-1,0,-1,0.3
 KMT,RF,50,10,0,14,0.5281210592686002,40,-1,0,-1,0.5
 KMT,SVM,0,0,linear,0,0.5702395964691047,40,0.5,0,-1,0.375
 KMT,KNN,0,0,euclidean,0,0.5351828499369483,40,-1,0,7,0.45
 KMT,ZR,0,0,0,0,0,40,-1,0,-1,0.325
 KMT,RF,50,10,0,14,0.5312977099236641,50,-1,0,-1,0.6
 KMT,SVM,0,0,poly,0,0.5628498727735369,50,0.5,3,-1,0.54
 KMT,KNN,0,0,canberra,0,0.5353689567430026,50,-1,0,9,0.54
 KMT,ZR,0,0,0,0,0,50,-1,0,-1,0.54
 KMT,RF,20,10,0,14,0.5041025641025642,60,-1,0,-1,0.55
 KMT,SVM,0,0,rbf,0,0.5705128205128205,60,10,0,-1,0.35
 KMT,KNN,0,0,hamming,0,0.5212820512820513,60,-1,0,11,0.5666666666666667
 KMT,ZR,0,0,0,0,0,60,-1,0,-1,0.35
 KMT,RF,40,10,0,14,0.5254851228978008,70,-1,0,-1,0.3
 KMT,SVM,0,0,rbf,0,0.5749029754204399,70,5,0,-1,0.5428571428571428
 KMT,KNN,0,0,manhattan,0,0.551875808538163,70,-1,0,5,0.4714285714285714
 KMT,ZR,0,0,0,0,0,70,-1,0,-1,0.5428571428571428
 KMT,RF,40,10,0,14,0.547780678851175,80,-1,0,-1,0.7875
 KMT,SVM,0,0,poly,0,0.5644908616187989,80,0.5,3,-1,0.725
 KMT,KNN,0,0,euclidean,0,0.5407310704960836,80,-1,0,11,0.6125
 KMT,ZR,0,0,0,0,0,80,-1,0,-1,0.725
 KMT,RF,40,10,0,14,0.5344736842105263,90,-1,0,-1,0.5
 KMT,SVM,0,0,linear,0,0.5713157894736842,90,0.5,0,-1,0.5333333333333333
 KMT,KNN,0,0,canberra,0,0.5360526315789473,90,-1,0,11,0.43333333333333335
 KMT,ZR,0,0,0,0,0,90,-1,0,-1,0.5333333333333333
 KMT,RF,10,10,0,14,0.5046480743691899,100,-1,0,-1,0.39
 KMT,SVM,0,0,poly,0,0.5713147410358566,100,0.5,3,-1,0.27
 KMT,KNN,0,0,canberra,0,0.5203187250996016,100,-1,0,7,0.47
 KMT,ZR,0,0,0,0,0,100,-1,0,-1,0.27
 BHP,RF,20,10,0,14,0.43472906403940886,10,-1,0,-1,0.4
 BHP,SVM,0,0,linear,0,0.5598522167487685,10,0.5,0,-1,1.0
 BHP,KNN,0,0,chebyshev,0,0.46995073891625616,10,-1,0,11,1.0
 BHP,ZR,0,0,0,0,0,10,-1,0,-1,0.0
 BHP,RF,50,10,0,14,0.5888198757763975,20,-1,0,-1,1.0
 BHP,SVM,0,0,linear,0,0.6904347826086956,20,0.5,0,-1,0.95
 BHP,KNN,0,0,canberra,0,0.5649689440993789,20,-1,0,7,0.85
 BHP,ZR,0,0,0,0,0,20,-1,0,-1,0.95
 BHP,RF,10,40,0,14,0.5101376720901126,30,-1,0,-1,0.2
 BHP,SVM,0,0,linear,0,0.5369211514392991,30,1,0,-1,0.26666666666666666
 BHP,KNN,0,0,manhattan,0,0.5286608260325407,30,-1,0,7,0.26666666666666666
 BHP,ZR,0,0,0,0,0,30,-1,0,-1,0.26666666666666666
 BHP,RF,20,10,0,14,0.5095959595959596,40,-1,0,-1,0.6
 BHP,SVM,0,0,linear,0,0.548989898989899,40,5,0,-1,0.75
